,word,letter_score,wiki_score,wiki_score_x_letter_score
0,WHICH,1.4664390576988735,3.2151934615449256,4.71488527006752
1,FIRST,2.7972686923864796,2.42685098772706,6.78855428905611
2,THEIR,3.0656196654148173,2.1757091073705066,6.6698966257771435
3,AFTER,3.2529873677022882,2.107841867083935,6.856782966738046
4,OTHER,3.044588596790714,1.506372962493683,4.586285944122113
5,THERE,2.414612495732332,1.2803558994982436,3.091563353913069
6,YEARS,3.712666439057699,1.1189165011132514,4.154163741791035
7,WOULD,2.1271423694093543,1.054180399387478,2.2423917925379797
8,LATER,3.6364629566404916,1.0286088495271375,3.7404979781780288
9,WHERE,2.0450665756230797,1.024165089548858,2.094485792556388
10,WORLD,2.3487879822465003,0.9619394138877632,2.2593917349888204
11,ABOUT,2.854626152270399,0.9340123653951359,2.6662561248008907
12,STATE,3.2382383065892792,0.9173779724357123,2.9706884919625276
13,THREE,2.414612495732332,0.9118973518419439,2.2018787405827807
14,WHILE,2.5675657220894497,0.9070981111207332,2.3290340166856813
15,UNDER,2.9013315124615913,0.8770792915991789,2.5446977876441865
16,KNOWN,1.5307613519972685,0.870852111306927,1.3330667552938673
17,THESE,2.5521338340730626,0.8264481042036494,2.1092061688436736
18,BEING,2.60443837487197,0.7876801465098088,2.0514644006949214
19,SOUTH,2.705906452714237,0.7543511945977998,2.0412037650748793
20,EARLY,3.4466370775008537,0.7511438457789966,2.588920229398473
21,UNTIL,2.672584499829293,0.7074909108236896,1.8908292420375017
22,SINCE,3.24028678729942,0.6984574883337137,2.263202570938071
23,NORTH,2.6410378968931374,0.6662691833753981,1.7596421628264696
24,ALBUM,2.5548651416865824,0.6472878152993857,1.6537330759468636
25,MUSIC,2.5712529873677026,0.6447437965551921,1.6577994129793319
26,GROUP,2.285148514851485,0.6419024575281235,1.4668424474999098
27,HOUSE,3.096756572208945,0.5697112878663201,1.764257174961649
28,MARCH,2.6333902355752814,0.5484120249037474,1.4441828714535965
29,FOUND,2.100512120177535,0.5279896812915088,1.1090487248814882
30,BEGAN,2.9431205189484464,0.5211307580710575,1.533750627134088
31,PLACE,3.0910208262205527,0.4890938708621991,1.5117993408118828
32,NAMED,3.106589279617617,0.47061789712874647,1.4620165140163504
33,RIVER,2.3505633321952883,0.46020918031174574,1.0817508243804392
34,LOCAL,2.508842608398771,0.45297722793369083,1.1364485700744056
35,ALONG,2.925640150221919,0.4396960863264879,1.2863925240522158
36,PARTY,2.8133834073062483,0.4389475210948991,1.2349276725265985
37,BASED,3.335063161488563,0.4336143071843771,1.4461311021850016
38,COULD,2.3221577330146808,0.43293894391113535,1.005352516526452
39,BUILT,2.4217138955274837,0.42770450250605396,1.0357779368985804
40,MAJOR,2.6571526118129056,0.4178412906937207,1.1102680768900957
41,FINAL,2.8439740525776713,0.41604834409749747,1.1832306952311893
42,GAMES,3.2876749743939913,0.40795200695101735,1.3412136040066633
43,DEATH,3.1004438374871968,0.4053142295341463,1.256654005205015
44,SMALL,2.649641515875726,0.3980852854557496,1.0547832992027935
45,LARGE,3.3634687606691704,0.38473395018985784,1.2940406226324355
46,ORDER,2.573438033458518,0.38149501422464466,0.9817537791804989
47,THIRD,2.507203823830659,0.38063664605553554,0.9543336544805158
48,THOSE,3.182109935131444,0.3796795053809857,1.208181926238627
49,STILL,2.516490269716627,0.36693935632896313,0.9233993197779179
50,AMONG,2.7123250256060087,0.3540543075100757,0.9603103586831838
51,OFTEN,2.7442813246841924,0.34972185461914584,0.9597351544652422
52,MOVED,2.3481051553431205,0.3425711263318595,0.8043930278115387
53,TIMES,3.2219870262888364,0.34253602950251505,1.1036466430935936
54,AGAIN,2.41092523045408,0.3304632215913127,0.7967221186716332
55,WATER,3.2591328098327077,0.3299523120327133,1.0753584058259753
56,GREAT,3.3556845339706385,0.3282937361545515,1.101650213013266
57,COURT,2.618231478320246,0.32273189147001446,0.8449867973046251
58,POWER,2.664800273130762,0.31276589608602967,0.8334586453160394
59,TITLE,2.6335268009559574,0.30479440337536035,0.8026842300703924
60,AWARD,2.1727552065551388,0.3035449562506992,0.6595288841172585
61,WHITE,2.559781495390918,0.29936793217543745,0.7663164930961283
62,GIVEN,2.4565380675998636,0.297210981320585,0.730110089722729
63,WORKS,2.481529532263571,0.29296476635318713,0.7270007196181308
64,TOTAL,2.6833731649026973,0.2922858933970109,0.7843121228211495
65,USING,2.6656196654148174,0.2913834034995831,0.7767173305439894
